Colorectal cancer,,,,,ab_c
LysoPI(18:0/0:0),HMDB0240261,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,Feces,Not Specified,
10Z-Heptadecenoic acid,HMDB0060038,CCCCCC\C=C/CCCCCCCCC(O)=O,Feces,Not Specified,
12-Methyltridecanoic acid,HMDB0031072,CC(C)CCCCCCCCCCC(O)=O,Feces,Not Specified,
13-HODE,HMDB0004667,CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O,Feces,Not Specified,
13-Methylmyristic acid,HMDB0061707,CC(C)CCCCCCCCCCCC(O)=O,Feces,Not Specified,
15-Methylpalmitate,HMDB0061709,CC(C)CCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
17-Methyloctadecanoic acid,HMDB0037397,CC(C)CCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Deoxyadenosine,HMDB0000101,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,Feces,Not Specified,
Deoxycytidine,HMDB0000014,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,Feces,Not Specified,
dCMP,HMDB0001202,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,Feces,Not Specified,
Deoxyguanosine,HMDB0000085,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,Feces,Not Specified,
Deoxyinosine,HMDB0000071,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,Feces,Not Specified,
Deoxyuridine,HMDB0000012,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,Feces,Not Specified,
"(R)-2,3-Dihydroxy-isovalerate",HMDB0012141,CC(C)(O)[C@@H](O)C(O)=O,Feces,Not Specified,
"2,4,6-Trihydroxybenzoic acid",HMDB0029649,OC(=O)C1=C(O)C=C(O)C=C1O,Feces,Not Specified,
Aminoadipic acid,HMDB0000510,N[C@@H](CCCC(O)=O)C(O)=O,Feces,Not Specified,
L-alpha-Aminobutyric acid,HMDB0000452,CC[C@H](N)C(O)=O,Feces,Not Specified,
Norvaline,HMDB0013716,CCC[C@@H](N)C(O)=O,Feces,Not Specified,
2-Aminoheptanedioic acid,HMDB0034252,NC(CCCCC(O)=O)C(O)=O,Feces,Not Specified,
2-Ethylhexanoic acid,HMDB0031230,CCCCC(CC)C(O)=O,Feces,Not Specified,
2-Hydroxy-3-methylpentanoic acid,HMDB0000317,CC[C@@H](C)[C@@H](O)C(O)=O,Feces,Not Specified,
2-Hydroxyadipic acid,HMDB0000321,OC(CCCC(O)=O)C(O)=O,Feces,Not Specified,
2-Hydroxybutyric acid,HMDB0000008,CC[C@H](O)C(O)=O,Feces,Not Specified,
2-Hydroxyglutarate,HMDB0059655,OC(CCC(O)=O)C(O)=O,Feces,Not Specified,
Salicyluric acid,HMDB0000840,OC(=O)CNC(=O)C1=C(O)C=CC=C1,Feces,Not Specified,
alpha-Hydroxyisobutyric acid,HMDB0000729,CC(C)(O)C(O)=O,Feces,Not Specified,
2-Hydroxymyristic acid,HMDB0002261,CCCCCCCCCCCCC(O)C(O)=O,Feces,Not Specified,
Hydroxyoctanoic acid,HMDB0000711,CCCCCCC(O)C(O)=O,Feces,Not Specified,
2-Hydroxyhexadecanoic acid,HMDB0031057,CCCCCCCCCCCCCC[C@H](O)C(O)=O,Feces,Not Specified,
2-Hydroxystearic acid,HMDB0062549,CCCCCCCCCCCCCCCC[C@H](O)C(O)=O,Feces,Not Specified,
2-Methylglutaric acid,HMDB0000422,CC(CCC(O)=O)C(O)=O,Feces,Not Specified,
LysoPC(0:0/18:1(9Z)),HMDB0061701,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CO)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
2-oleoyl-sn-glycero-3-phosphocholine,HMDB0062651,[H]\C(CCCCCCCC)=C(/[H])CCCCCCCC(=O)O[C@]([H])(CO)COP([O-])(=O)OCC[N+](C)(C)C,Feces,Not Specified,
"xi-2,3-Dihydro-2-oxo-1H-indole-3-acetic acid",HMDB0035514,OC(=O)CC1C(O)=NC2=C1C=CC=C2,Feces,Not Specified,
MG(0:0/16:0/0:0),HMDB0011533,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCC,Feces,Not Specified,
MG(0:0/18:0/0:0),HMDB0011535,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCCCC,Feces,Not Specified,
2-Stearoylglycerophosphoglycerol,HMDB0061703,CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(O)CO,Feces,Not Specified,
Crustecdysone,HMDB0030180,[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@]3([H])CC[C@]12C)[C@@](C)(O)[C@H](O)CCC(C)(C)O,Feces,Not Specified,
Protocatechuic acid,HMDB0001856,OC(=O)C1=CC(O)=C(O)C=C1,Feces,Not Specified,
"3,4-Dihydroxybenzeneacetic acid",HMDB0001336,OC(=O)CC1=CC(O)=C(O)C=C1,Feces,Not Specified,
"3,7-Dimethyluric acid",HMDB0001982,CN1C(=O)NC2=C1C(=O)NC(=O)N2C,Feces,Not Specified,
3-(2-Hydroxyphenyl)propanoic acid,HMDB0033752,OC(=O)CCC1=CC=CC=C1O,Feces,Not Specified,
Hydroxyphenyllactic acid,HMDB0000755,OC(CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Desaminotyrosine,HMDB0002199,OC(=O)CCC1=CC=C(O)C=C1,Feces,Not Specified,
3-Aminobutanoic acid,HMDB0031654,CC(N)CC(O)=O,Feces,Not Specified,
3-Aminoisobutanoic acid,HMDB0003911,CC(CN)C(O)=O,Feces,Not Specified,
3-Oxocholic acid,HMDB0000502,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
3-Hydroxymethylglutaric acid,HMDB0000355,CC(O)(CC(O)=O)CC(O)=O,Feces,Not Specified,
3-Hydroxybenzoic acid,HMDB0002466,OC(=O)C1=CC(O)=CC=C1,Feces,Not Specified,
3-Hydroxycapric acid,HMDB0002203,CCCCCCC[C@H](O)CC(O)=O,Feces,Not Specified,
3-Hydroxyhippuric acid,HMDB0006116,OC(=O)CNC(=O)C1=CC=CC(O)=C1,Feces,Not Specified,
(S)-3-Hydroxyisobutyric acid,HMDB0000023,C[C@@H](CO)C(O)=O,Feces,Not Specified,
3-Hydroxyoctanoic acid,HMDB0001954,CCCCC[C@H](O)CC(O)=O,Feces,Not Specified,
3-Hydroxyphenylacetic acid,HMDB0000440,OC(=O)CC1=CC(O)=CC=C1,Feces,Not Specified,
Hydroxypropionic acid,HMDB0000700,OCCC(O)=O,Feces,Not Specified,
Indoxyl sulfate,HMDB0000682,OS(=O)(=O)OC1=CNC2=CC=CC=C12,Feces,Not Specified,
Chrysoeriol,HMDB0030667,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,Feces,Not Specified,
3-Methyl-2-oxovaleric acid,HMDB0000491,CC[C@H](C)C(=O)C(O)=O,Feces,Not Specified,
3-Methyladipic acid,HMDB0000555,C[C@@H](CCC(O)=O)CC(O)=O,Feces,Not Specified,
Methylglutaric acid,HMDB0000752,CC(CC(O)=O)CC(O)=O,Feces,Not Specified,
3-Methylhistidine,HMDB0000479,[H][C@](N)(CC1=CN=CN1C)C(O)=O,Feces,Not Specified,
3-Methylthiopropionic acid,HMDB0001527,CSCCC(O)=O,Feces,Not Specified,
3-Methylxanthine,HMDB0001886,CN1C2=C(NC=N2)C(=O)NC1=O,Feces,Not Specified,
Hydrocinnamic acid,HMDB0000764,OC(=O)CCC1=CC=CC=C1,Feces,Not Specified,
Ureidopropionic acid,HMDB0000026,NC(=O)NCCC(O)=O,Feces,Not Specified,
4-Acetamidobutanoic acid,HMDB0003681,CC(=O)NCCCC(O)=O,Feces,Not Specified,
Cholestenone,HMDB0000921,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
4-Ethylphenylsulfate,HMDB0062551,CCC1=CC=C(OS(O)(=O)=O)C=C1,Feces,Not Specified,
4-Guanidinobutanoic acid,HMDB0003464,NC(=N)NCCCC(O)=O,Feces,Not Specified,
4-Hydroxynonenal,HMDB0004362,CCCCCC(O)\C=C\C=O,Feces,Not Specified,
4-Hydroxybenzoic acid,HMDB0000500,OC(=O)C1=CC=C(O)C=C1,Feces,Not Specified,
4-Hydroxybenzyl alcohol,HMDB0011724,OCC1=CC=C(O)C=C1,Feces,Not Specified,
4-Hydroxybutyric acid,HMDB0000710,OCCCC(O)=O,Feces,Not Specified,
4-Hydroxycinnamic acid,HMDB0002035,OC(=O)\C=C\C1=CC=C(O)C=C1,Feces,Not Specified,
4-Hydroxyhippuric acid,HMDB0013678,OC(=O)CNC(=O)C1=CC=C(O)C=C1,Feces,Not Specified,
p-Hydroxymandelic acid,HMDB0000822,OC(C(O)=O)C1=CC=C(O)C=C1,Feces,Not Specified,
p-Hydroxyphenylacetic acid,HMDB0000020,OC(=O)CC1=CC=C(O)C=C1,Feces,Not Specified,
4-Hydroxyphenylpyruvic acid,HMDB0000707,OC(=O)C(=O)CC1=CC=C(O)C=C1,Feces,Not Specified,
Ketoleucine,HMDB0000695,CC(C)CC(=O)C(O)=O,Feces,Not Specified,
4-Methylcatechol,HMDB0000873,CC1=CC=C(O)C(O)=C1,Feces,Not Specified,
Dihydrouracil,HMDB0000076,O=C1CCNC(=O)N1,Feces,Not Specified,
5-Aminopentanoic acid,HMDB0003355,NCCCCC(O)=O,Feces,Not Specified,
5Z-Dodecenoic acid,HMDB0000529,CCCCCC\C=C/CCCC(O)=O,Feces,Not Specified,
5-Hydroxyhexanoic acid,HMDB0000525,CC(O)CCCC(O)=O,Feces,Not Specified,
5-Hydroxylysine,HMDB0000450,NC[C@H](O)CC[C@H](N)C(O)=O,Feces,Not Specified,
Sumiki's acid,HMDB0002432,OCC1=CC=C(O1)C(O)=O,Feces,Not Specified,
5-Keto-D-gluconate,HMDB0011731,OCC(=O)C(O)C(O)C(O)C(O)=O,Feces,Not Specified,
5'-Methylthioadenosine,HMDB0001173,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,Feces,Not Specified,
Ribothymidine,HMDB0000884,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,Feces,Not Specified,
Pyroglutamic acid,HMDB0000267,OC(=O)[C@@H]1CCC(=O)N1,Feces,Not Specified,
6-Hydroxynicotinic acid,HMDB0002658,OC(=O)C1=CN=C(O)C=C1,Feces,Not Specified,
6-Oxopiperidine-2-carboxylic acid,HMDB0061705,OC(=O)C1CCCC(O)=N1,Feces,Not Specified,
7alpha-Hydroxycholesterol,HMDB0001496,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
7beta-Hydroxycholesterol,HMDB0006119,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
7-Hydroxyoctanoic acid,HMDB0000486,CC(O)CCCCCC(O)=O,Feces,Not Specified,
7-Ketodeoxycholic acid,HMDB0000391,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
Nutriacholic acid,HMDB0000467,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,Feces,Not Specified,
7-Methylguanine,HMDB0000897,CN1C=NC2=C1C(=O)N=C(N)N2,Feces,Not Specified,
7-Methyluric acid,HMDB0011107,CN1C(=O)NC2=C1C(=O)NC(=O)N2,Feces,Not Specified,
7-Methylxanthine,HMDB0001991,CN1C=NC2=C1C(=O)NC(=O)N2,Feces,Not Specified,
8-Hydroxyguanine,HMDB0002032,NC1=NC2=C(NC(=O)N2)C(=O)N1,Feces,Not Specified,
8-Hydroxyoctanoate,HMDB0061914,OCCCCCCCC(O)=O,Feces,Not Specified,
alpha-Dimorphecolic acid,HMDB0004670,CCCCC\C=C/C=C/[C@@H](O)CCCCCCCC(O)=O,Feces,Not Specified,
Acetoacetic acid,HMDB0000060,CC(=O)CC(O)=O,Feces,Not Specified,
L-Acetylcarnitine,HMDB0000201,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Feces,Not Specified,
Adenine,HMDB0000034,NC1=C2NC=NC2=NC=N1,Feces,Not Specified,
Adenosine,HMDB0000050,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,Feces,Not Specified,
Adenosine monophosphate,HMDB0000045,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,Feces,Not Specified,
Adipic acid,HMDB0000448,OC(=O)CCCCC(O)=O,Feces,Not Specified,
Agmatine,HMDB0001432,NCCCCNC(N)=N,Feces,Not Specified,
L-Alanine,HMDB0000161,C[C@H](N)C(O)=O,Feces,Not Specified,
Alanylalanine,HMDB0028680,C[C@H](N)C(=O)N[C@@H](C)C(O)=O,Feces,Not Specified,
Alanylglutamic acid,HMDB0028686,C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Feces,Not Specified,
Alanylglycine,HMDB0006899,C[C@H](N)C(=O)NCC(O)=O,Feces,Not Specified,
Alanylisoleucine,HMDB0028690,CC[C@H](C)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanylphenylalanine,HMDB0028694,C[C@H](N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Alanylproline,HMDB0028695,C[C@H](N)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Alanylthreonine,HMDB0028697,C[C@@H](O)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Alanyltyrosine,HMDB0028699,C[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Alanylvaline,HMDB0028700,CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O,Feces,Not Specified,
Allantoin,HMDB0000462,NC(=O)NC1NC(=O)NC1=O,Feces,Not Specified,
L-Allothreonine,HMDB0004041,C[C@H](O)[C@H](N)C(O)=O,Feces,Not Specified,
Epi-alpha-amyrin,HMDB0036657,[H][C@@]12[C@H](C)[C@@H](C)CC[C@]1(C)CC[C@]1(C)C2=CCC2[C@@]3(C)CC[C@H](O)C(C)(C)C3CC[C@@]12C,Feces,Not Specified,
Glutamyllysine,HMDB0004207,NCCCC[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,Feces,Not Specified,
Glutamylvaline,HMDB0028832,CC(C)[C@H](NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,Feces,Not Specified,
Leucinic acid,HMDB0000665,CC(C)CC(O)C(O)=O,Feces,Not Specified,
2-Hydroxy-3-methylbutyric acid,HMDB0000407,CC(C)C(O)C(O)=O,Feces,Not Specified,
Anacardic acid,HMDB0033896,CCC\C=C/C\C=C/CCCCCCCC1=C(C(O)=O)C(O)=CC=C1,Feces,Not Specified,
Androsterone sulfate,HMDB0002759,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
Anserine,HMDB0000194,CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O,Feces,Not Specified,
2-Aminobenzoic acid,HMDB0001123,NC1=CC=CC=C1C(O)=O,Feces,Not Specified,
Citronellyl anthranilate,HMDB0032208,CC(CCOC(=O)C1=CC=CC=C1N)CCC=C(C)C,Feces,Not Specified,
Apigenin,HMDB0002124,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,Feces,Not Specified,
L-Arabinose,HMDB0000646,O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
D-Arabitol,HMDB0000568,OC[C@@H](O)C(O)[C@H](O)CO,Feces,Not Specified,
Arachidic acid,HMDB0002212,CCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Arachidonic acid,HMDB0001043,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
L-Arginine,HMDB0000517,N[C@@H](CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylisoleucine,HMDB0028712,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylleucine,HMDB0028713,CC(C)C[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylmethionine,HMDB0028715,CSCC[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
Arginylphenylalanine,HMDB0028716,N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Arginylproline,HMDB0028717,N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(O)=O,Feces,Not Specified,
Arginyltyrosine,HMDB0028721,N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,Feces,Not Specified,
Arginylvaline,HMDB0028722,CC(C)[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O,Feces,Not Specified,
L-Asparagine,HMDB0000168,N[C@@H](CC(N)=O)C(O)=O,Feces,Not Specified,
L-Aspartic acid,HMDB0000191,N[C@@H](CC(O)=O)C(O)=O,Feces,Not Specified,
Aspartyl-Leucine,HMDB0028757,CC(C)CC(NC(=O)C(N)CC(O)=O)C(O)=O,Feces,Not Specified,
Aspartylphenylalanine,HMDB0000706,N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
Aspartyl-Tryptophan,HMDB0028764,NC(CC(O)=O)C(=O)NC(CC1=CNC2=CC=CC=C12)C(O)=O,Feces,Not Specified,
Azelaic acid,HMDB0000784,OC(=O)CCCCCCCC(O)=O,Feces,Not Specified,
Behenic acid,HMDB0000944,CCCCCCCCCCCCCCCCCCCCCC(O)=O,Feces,Not Specified,
Benzoic acid,HMDB0001870,OC(=O)C1=CC=CC=C1,Feces,Not Specified,
beta-Alanine,HMDB0000056,NCCC(O)=O,Feces,Not Specified,
3-Hydroxyisovaleric acid,HMDB0000754,CC(C)(O)CC(O)=O,Feces,Not Specified,
Hydroxypyruvic acid,HMDB0001352,OCC(=O)C(O)=O,Feces,Not Specified,
beta-Sitosterol,HMDB0000852,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,Feces,Not Specified,
beta-Tocopherol,HMDB0006335,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=CC(C)=C2O1,Feces,Not Specified,
Betaine,HMDB0000043,C[N+](C)(C)CC(O)=O,Feces,Not Specified,
Bilirubin,HMDB0000054,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,Feces,Not Specified,
Biliverdin,HMDB0001008,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
Biotin,HMDB0000030,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,Feces,Not Specified,
Bufotenin,HMDB0041842,CN(C)CCC1=CNC2=C1C=C(O)C=C2,Feces,Not Specified,
Cadaverine,HMDB0002322,NCCCCCN,Feces,Not Specified,
Caffeic acid,HMDB0001964,OC(=O)\C=C\C1=CC(O)=C(O)C=C1,Feces,Not Specified,
Caffeine,HMDB0001847,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,Feces,Not Specified,
Campesterol,HMDB0002869,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C,Feces,Not Specified,
Capric acid,HMDB0000511,CCCCCCCCCC(O)=O,Feces,Not Specified,
Caproic acid,HMDB0000535,CCCCCC(O)=O,Feces,Not Specified,
Caprylic acid,HMDB0000482,CCCCCCCC(O)=O,Feces,Not Specified,
L-Carnitine,HMDB0000062,C[N+](C)(C)C[C@H](O)CC([O-])=O,Feces,Not Specified,
Catechin,HMDB0002780,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,Feces,Not Specified,
Levoinositol,HMDB0034220,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,Feces,Not Specified,
Cholic acid,HMDB0000619,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,Feces,Not Specified,
Cholesterol,HMDB0000067,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Choline,HMDB0000097,C[N+](C)(C)CCO,Feces,Not Specified,
Phosphorylcholine,HMDB0001565,C[N+](C)(C)CCOP(O)(O)=O,Feces,Not Specified,
Ciliatine,HMDB0011747,NCCP(O)(O)=O,Feces,Not Specified,
cis-Vaccenic acid,HMDB0240219,CCCCCC\C=C/CCCCCCCCCC(O)=O,Feces,Not Specified,
Citraconic acid,HMDB0000634,C\C(=C\C(O)=O)C(O)=O,Feces,Not Specified,
Citramalic acid,HMDB0000426,CC(O)(CC(O)=O)C(O)=O,Feces,Not Specified,
Citric acid,HMDB0000094,OC(=O)CC(O)(CC(O)=O)C(O)=O,Feces,Not Specified,
Citrulline,HMDB0000904,N[C@@H](CCCNC(N)=O)C(O)=O,Feces,Not Specified,
Creatinine,HMDB0000562,CN1CC(=O)NC1=N,Feces,Not Specified,
Cyclo(Leu-Phe),HMDB0094673,[H][C@@]1(CC(C)C)N=C(O)[C@]([H])(CC2=CC=CC=C2)N=C1O,Feces,Not Specified,
Phenylalanylphenylalanine,HMDB0013302,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,Feces,Not Specified,
L-Cysteine,HMDB0000574,N[C@@H](CS)C(O)=O,Feces,Not Specified,
L-Cystine,HMDB0000192,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
Cytidine,HMDB0000089,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Feces,Not Specified,
Cytidine monophosphate,HMDB0000095,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,Feces,Not Specified,
Cytosine,HMDB0000630,NC1=CC=NC(=O)N1,Feces,Not Specified,
D-Urobilin,HMDB0004161,CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(CC2NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O,Feces,Not Specified,
Daidzein,HMDB0003312,OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O,Feces,Not Specified,
Decanoylcarnitine,HMDB0000651,CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Feces,Not Specified,
Dehydroepiandrosterone sulfate,HMDB0001032,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,Feces,Not Specified,
4-Trimethylammoniobutanoic acid,HMDB0001161,C[N+](C)(C)CCCC([O-])=O,Feces,Not Specified,
Deoxycholic acid,HMDB0000626,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,Feces,Not Specified,
Panthenol,HMDB0004231,CC(C)(CO)[C@@H](O)C(=O)NCCCO,Feces,Not Specified,
Diaminopimelic acid,HMDB0001370,N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O,Feces,Not Specified,
Dihomolinoleic acid,HMDB0061864,CCCCC\C=C/C=C\CCCCCCCCC(O)=O,Feces,Not Specified,
Dihomo-gamma-linolenic acid,HMDB0002925,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,Feces,Not Specified,
5alpha-Cholestanol,HMDB0000908,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Feces,Not Specified,
Diltiazem,HMDB0014487,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,Feces,Not Specified,
Asymmetric dimethylarginine,HMDB0001539,N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O,Feces,Not Specified,
Symmetric dimethylarginine,HMDB0003334,CN\C(NCCC[C@H](N)C(O)=O)=N/C,Feces,Not Specified,
Dimethylglycine,HMDB0000092,CN(C)CC(O)=O,Feces,Not Specified,
Docosadienoate (22:2n6),HMDB0061714,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Docosahexaenoic acid,HMDB0002183,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,Feces,Not Specified,
Docosapentaenoic acid (22n-6),HMDB0001976,CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,Feces,Not Specified,
Docosapentaenoic acid (22n-3),HMDB0006528,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O,Feces,Not Specified,
Docosatrienoic acid,HMDB0002823,CC\C=C/C\C=C/C\C=C/CCCCCCCCCCCC(O)=O,Feces,Not Specified,
Dodecanedioic acid,HMDB0000623,OC(=O)CCCCCCCCCCC(O)=O,Feces,Not Specified,
Traumatic acid,HMDB0000933,OC(=O)CCCCCCCC\C=C\C(O)=O,Feces,Not Specified,
Eicosapentaenoic acid,HMDB0001999,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,Feces,Not Specified,
11Z-Eicosenoic acid,HMDB0002231,CCCCCCCC\C=C/CCCCCCCCCC(O)=O,Feces,Not Specified,
Enterolactone,HMDB0006101,OC1=CC=CC(C[C@@H]2COC(=O)[C@H]2CC2=CC(O)=CC=C2)=C1,Feces,Not Specified,
